User, Action, Channel Name, UNIX Time, ISO8601 Local Time
donwersa#8598,leave,Gamer 3,1641964212.5833132,2022-01-12T05:10:12.583342
jazzy#0143,leave,Gamer 3,1641964251.5968356,2022-01-12T05:10:51.596887
Liam Straub#3257,leave,Gamer 3,1641964268.2240286,2022-01-12T05:11:08.224074
tomlins212#4429,leave,Gamer 3,1641964401.0065393,2022-01-12T05:13:21.006584
Tangent#0184,leave,Gamer 3,1641964403.443369,2022-01-12T05:13:23.443412
MaxDeVos#0202,join,General,1641965139.7621431,2022-01-12T05:25:39.762172
tomlins212#4429,join,General,1641965146.4244556,2022-01-12T05:25:46.424501
MaxDeVos#0202,leave,General,1641965176.6228044,2022-01-12T05:26:16.622847
MaxDeVos#0202,join,General,1641965193.072958,2022-01-12T05:26:33.072995
Tangent#0184,join,General,1641965215.2884881,2022-01-12T05:26:55.288534
JOSH CARLSON#6495,join,General,1641965221.9023721,2022-01-12T05:27:01.902412
JOSH CARLSON#6495,leave,General,1641965570.0800529,2022-01-12T05:32:50.080094
JOSH CARLSON#6495,join,General,1641965579.6905634,2022-01-12T05:32:59.690604
izzyhlx#2282,join,General,1641965739.5034397,2022-01-12T05:35:39.503482
izzyhlx#2282,leave,General,1641965920.9006522,2022-01-12T05:38:40.900698
MaxDeVos#0202,leave,General,1641966721.5310183,2022-01-12T05:52:01.531063
tomlins212#4429,leave,General,1641967361.4047759,2022-01-12T06:02:41.404820
tomlins212#4429,join,General,1641967365.912134,2022-01-12T06:02:45.912179
tomlins212#4429,leave,General,1641967663.0454798,2022-01-12T06:07:43.045522
Tangent#0184,leave,General,1641969756.0866673,2022-01-12T06:42:36.086711
JOSH CARLSON#6495,leave,General,1641969756.9826643,2022-01-12T06:42:36.982694
AllRickyBobby#5706,join,Gamer 3,1642023126.7172782,2022-01-12T21:32:06.717308
AllRickyBobby#5706,leave,Gamer 3,1642023127.688959,2022-01-12T21:32:07.689006
Tangent#0184,join,General,1642031917.5512936,2022-01-12T23:58:37.551334
tomlins212#4429,join,General,1642031938.3755581,2022-01-12T23:58:58.375603
Liam Straub#3257,join,General,1642033393.8754427,2022-01-13T00:23:13.875490
Peter#9962,join,General,1642033834.087662,2022-01-13T00:30:34.087706
Iron Horse#7419,join,Gamer 3,1642036239.3181002,2022-01-13T01:10:39.318147
Peter#9962,leave,General,1642036272.2428014,2022-01-13T01:11:12.242849
Peter#9962,join,Gamer 3,1642036272.2429504,2022-01-13T01:11:12.242972
Annabelle B#6621,join,Gamer 3,1642036589.3601937,2022-01-13T01:16:29.360240
ClockworkGold#8535,join,Gamer 3,1642037898.7387037,2022-01-13T01:38:18.738744
tomlins212#4429,leave,General,1642039071.1247935,2022-01-13T01:57:51.124842
Tangent#0184,leave,General,1642039177.731682,2022-01-13T01:59:37.731726
Liam Straub#3257,leave,General,1642039288.5208647,2022-01-13T02:01:28.520911
Daniel the maniel#7678,join,Gamer 3,1642040962.8689744,2022-01-13T02:29:22.869020
JOSH CARLSON#6495,join,Gamer 3,1642041638.6085217,2022-01-13T02:40:38.608569
ClockworkGold#8535,leave,Gamer 3,1642044135.1631866,2022-01-13T03:22:15.163231
ClockworkGold#8535,join,Gamer 3,1642044135.777891,2022-01-13T03:22:15.777930
Darkand#0021,join,Gamer 3,1642044202.8772655,2022-01-13T03:23:22.877311
JOSH CARLSON#6495,leave,Gamer 3,1642045258.0617461,2022-01-13T03:40:58.061796
JOSH CARLSON#6495,join,Gamer 3,1642045303.61624,2022-01-13T03:41:43.616282
ClockworkGold#8535,leave,Gamer 3,1642045304.0744207,2022-01-13T03:41:44.074450
Liam Straub#3257,join,Codimg Zoney,1642045353.743416,2022-01-13T03:42:33.743453
Liam Straub#3257,leave,Codimg Zoney,1642045370.9219732,2022-01-13T03:42:50.922019
Liam Straub#3257,join,Gamer 3,1642045370.9221232,2022-01-13T03:42:50.922145
Iron Horse#7419,leave,Gamer 3,1642045373.3578382,2022-01-13T03:42:53.357883
Peter#9962,leave,Gamer 3,1642045456.4664547,2022-01-13T03:44:16.466497
Daniel the maniel#7678,leave,Gamer 3,1642045634.4372787,2022-01-13T03:47:14.437309
tomlins212#4429,join,Gamer 3,1642046503.2277613,2022-01-13T04:01:43.227800
Annabelle B#6621,leave,Gamer 3,1642046559.702528,2022-01-13T04:02:39.702574
Darkand#0021,leave,Gamer 3,1642046624.0137246,2022-01-13T04:03:44.013763
jazzy#0143,join,Gamer 3,1642047831.6493392,2022-01-13T04:23:51.649379
Tangent#0184,join,Gamer 3,1642048014.3268807,2022-01-13T04:26:54.326918
Tangent#0184,leave,Gamer 3,1642051221.181655,2022-01-13T05:20:21.181695
Tangent#0184,join,General,1642051221.1817899,2022-01-13T05:20:21.181810
Tangent#0184,leave,General,1642051221.9600172,2022-01-13T05:20:21.960047
Tangent#0184,join,Gamer 3,1642051221.9601095,2022-01-13T05:20:21.960120
tomlins212#4429,leave,Gamer 3,1642052141.9504092,2022-01-13T05:35:41.950438
tomlins212#4429,join,Gamer 3,1642052143.519197,2022-01-13T05:35:43.519239
Liam Straub#3257,leave,Gamer 3,1642052157.3666945,2022-01-13T05:35:57.366742
tomlins212#4429,leave,Gamer 3,1642052195.9349024,2022-01-13T05:36:35.934945
Tangent#0184,leave,Gamer 3,1642052243.5489159,2022-01-13T05:37:23.548957
Tangent#0184,join,General,1642052243.5490494,2022-01-13T05:37:23.549068
jazzy#0143,leave,Gamer 3,1642052270.5877328,2022-01-13T05:37:50.587780
